Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg3_m12	1	1.66	0	5.02	0.02	0.02	2.31	0.45	0.13	5.15	28.56	0.0	0.77
1	fg3_m12	1	1.66	1	1.17	0.03	0.05	7.01	0.61	0.55	22.41	45.73	0.61	0.48
2	fg3_m12	1	1.66	2	1.81	0.04	0.05	14.57	0.61	0.37	7.78	24.99	0.3	0.48
3	fg3_m12	1	1.66	5	2.59	0.02	0.04	14.0	0.65	0.61	7.78	12.0	0.3	0.21
4	fg3_m12	1	1.76	0	9.42	0.02	0.03	5.97	0.47	0.11	6.45	26.02	0.0	0.21
5	fg3_m12	1	1.76	1	7.46	0.05	0.05	7.74	0.61	0.51	21.56	47.75	0.61	0.48
6	fg3_m12	1	1.76	2	3.76	0.02	0.04	14.53	0.6	0.32	4.8	17.91	0.3	0.21
7	fg3_m12	1	1.76	3	14.8	0.9	0.18	66.13	0.57	0.3	44.09	57.44	3.03	0.88
8	fg3_m12	1	1.76	4	22.35	0.03	0.02	3.36	0.38	0.06	9.79	31.74	0.0	0.21
9	fg3_m12	1	1.76	5	87.63	0.13	0.1	17.04	0.54	0.64	61.17	70.72	1.52	0.21
10	fg3_m12	1	1.76	6	85.7	0.38	0.14	47.12	0.61	0.68	10.83	12.25	1.09	1.98
11	fg3_m12	1	1.81	0	5.49	0.08	0.05	19.2	0.56	0.3	29.63	99.55	0.3	0.21
12	fg3_m12	1	1.81	1	63.99	0.08	0.07	23.85	0.51	0.59	19.96	34.73	1.25	0.21
13	fg3_m12	1	1.81	2	59.63	0.07	0.06	20.57	0.48	0.16	35.42	61.12	0.3	0.21
14	fg3_m12	1	1.81	3	38.8	0.1	0.11	51.38	0.63	0.58	12.76	20.25	0.96	1.16
15	fg3_m12	1	1.81	4	10.63	0.3	0.06	16.74	0.3	0.27	40.2	44.96	2.15	0.48
16	fg3_m12	1	1.81	5	82.61	0.05	0.07	9.82	0.67	0.59	21.7	40.7	0.43	0.48
17	fg3_m12	1	1.81	6	50.3	0.15	0.12	65.85	0.6	0.6	10.89	17.96	1.82	1.83
18	fg3_m12	1	1.86	0	4.78	0.06	0.04	15.39	0.39	0.16	14.09	27.35	0.43	0.64
19	fg3_m12	1	1.86	1	31.69	0.04	0.04	9.85	0.44	0.4	10.0	23.64	0.43	0.21
20	fg3_m12	1	1.86	2	24.73	0.06	0.08	15.35	0.4	0.28	5.08	11.68	0.3	0.21
21	fg3_m12	1	1.86	3	34.77	0.08	0.06	19.76	0.51	0.57	3.86	14.63	3.05	4.32
