Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg3_m12	1	1.66	0	6.24	0.02	0.02	5.79	0.45	0.13	11.76	53.84	0.3	0.77
1	fg3_m12	1	1.66	1	0.51	0.04	0.04	13.74	0.61	0.55	22.34	33.62	0.68	0.64
2	fg3_m12	1	1.66	2	1.38	0.04	0.04	16.8	0.61	0.37	9.13	23.85	0.0	0.48
3	fg3_m12	1	1.76	0	6.84	0.02	0.03	6.11	0.45	0.11	8.11	36.99	0.43	0.48
4	fg3_m12	1	1.76	1	5.98	0.05	0.04	16.2	0.6	0.51	27.23	48.69	0.61	0.64
5	fg3_m12	1	1.76	2	5.15	0.04	0.03	16.01	0.59	0.32	8.62	23.99	0.3	0.21
6	fg3_m12	1	1.76	3	5.64	0.04	0.06	17.02	0.57	0.3	37.64	61.57	3.96	0.21
7	fg3_m12	1	1.76	4	29.41	0.04	0.03	3.85	0.35	0.06	2.91	4.21	0.3	0.21
8	fg3_m12	1	1.76	5	77.8	0.14	0.06	45.98	0.51	0.64	79.34	51.91	1.52	1.73
9	fg3_m12	1	1.76	6	86.43	0.39	0.14	57.23	0.62	0.68	20.54	42.3	0.68	1.98
10	fg3_m12	1	1.81	0	20.21	0.1	0.05	30.83	0.54	0.3	35.21	81.25	0.3	0.48
11	fg3_m12	1	1.81	1	30.57	0.08	0.05	41.81	0.52	0.59	14.08	26.48	1.52	0.21
12	fg3_m12	1	1.81	2	68.51	0.04	0.05	19.82	0.51	0.16	8.2	12.79	0.3	0.21
13	fg3_m12	1	1.81	3	20.8	0.13	0.16	72.68	0.67	0.58	6.64	8.32	0.96	1.07
14	fg3_m12	1	1.81	4	45.75	0.49	0.06	15.15	0.26	0.27	35.88	55.34	1.72	0.21
15	fg3_m12	1	1.81	5	70.75	0.2	0.08	15.18	0.65	0.59	31.93	47.46	0.43	0.77
16	fg3_m12	1	1.81	6	32.7	0.11	0.06	52.44	0.54	0.6	19.93	43.46	1.85	1.83
17	fg3_m12	1	1.86	0	18.2	0.08	0.03	13.73	0.37	0.16	13.27	34.04	0.43	0.48
18	fg3_m12	1	1.86	4	29.26	0.28	0.04	10.51	0.14	0.12	41.06	51.04	0.3	0.48
19	fg3_m12	1	1.86	6	67.48	0.08	0.07	16.02	0.51	0.66	9.4	18.36	0.3	0.77
20	fg3_m12	1	1.91	0	0.01	0.06	0.02	14.52	0.38	0.19	33.41	78.36	0.43	0.88
21	fg3_m12	1	1.91	2	3.87	0.06	0.04	12.49	0.44	0.34	10.33	15.29	0.3	0.21
22	fg3_m12	1	1.91	3	17.4	0.12	0.07	18.1	0.43	0.52	30.11	69.08	2.15	2.28
23	fg3_m12	1	1.91	4	45.19	0.11	0.03	5.97	0.18	0.09	5.43	12.65	0.43	0.48
24	fg3_m12	1	1.91	6	66.6	0.04	0.04	10.65	0.46	0.62	5.96	13.66	0.91	0.21
25	fg3_m12	1	2.0	0	7.88	0.07	0.04	17.56	0.44	0.27	39.12	65.89	0.0	0.88
26	fg3_m12	1	2.0	1	75.93	0.77	0.12	5.72	0.45	0.34	39.71	50.39	1.25	0.64
27	fg3_m12	1	2.0	2	3.06	0.06	0.04	10.84	0.42	0.25	7.6	16.4	0.3	0.21
28	fg3_m12	1	2.0	3	16.35	0.2	0.07	24.79	0.4	0.3	36.06	55.45	0.91	2.11
29	fg3_m12	1	2.0	4	56.88	0.2	0.05	4.7	0.14	0.04	41.75	54.16	0.3	0.48
