Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2
0	fg3_m12	1	1.66	0	5.75	0.04	0.07	11.55	0.35	0.13	12.6	21.11	0.0	0.77
1	fg3_m12	1	1.66	1	2.19	0.03	0.06	11.85	0.63	0.54	12.78	26.92	0.68	0.77
2	fg3_m12	1	1.66	2	1.76	0.03	0.06	19.53	0.54	0.35	5.03	6.4	0.3	0.48
3	fg3_m12	1	1.66	5	1.73	0.04	0.04	12.18	0.66	0.61	12.72	17.01	0.0	0.48
4	fg3_m12	1	1.76	0	12.43	0.05	0.07	12.32	0.37	0.11	5.76	12.17	0.43	0.48
5	fg3_m12	1	1.76	1	3.0	0.03	0.05	11.68	0.68	0.5	16.17	36.33	0.68	0.21
6	fg3_m12	1	1.76	2	4.01	0.03	0.04	14.29	0.67	0.31	13.32	32.68	1.36	0.48
7	fg3_m12	1	1.76	3	5.8	0.04	0.1	17.86	0.57	0.3	30.91	38.14	1.92	0.64
8	fg3_m12	1	1.76	4	30.14	0.05	0.07	6.72	0.46	0.06	12.95	22.33	1.09	0.21
9	fg3_m12	1	1.76	5	85.03	0.22	0.12	31.5	0.6	0.64	90.1	92.64	2.21	0.48
11	fg3_m12	1	1.81	0	20.8	0.07	0.03	16.64	0.42	0.29	21.74	28.83	0.43	0.21
12	fg3_m12	1	1.81	1	28.63	0.07	0.09	36.14	0.53	0.59	14.49	23.47	2.21	0.48
13	fg3_m12	1	1.81	2	68.74	0.04	0.05	24.48	0.55	0.15	15.51	26.25	1.09	0.21
14	fg3_m12	1	1.81	3	36.62	0.09	0.13	58.07	0.71	0.58	4.85	15.64	0.43	1.68
15	fg3_m12	1	1.81	4	52.54	0.43	0.1	14.58	0.32	0.27	32.53	44.58	3.27	0.48
16	fg3_m12	1	1.81	5	59.25	0.23	0.13	26.33	0.69	0.59	21.38	31.81	2.19	0.64
17	fg3_m12	1	1.81	6	32.7	0.1	0.1	71.89	0.56	0.6	26.9	36.26	1.21	1.83
18	fg3_m12	1	1.86	0	17.23	0.06	0.03	14.49	0.31	0.16	12.01	12.54	0.43	0.21
19	fg3_m12	1	1.86	1	29.5	0.07	0.06	14.05	0.53	0.39	8.28	16.9	0.43	0.48
20	fg3_m12	1	1.86	2	31.62	0.06	0.09	13.09	0.44	0.27	7.59	12.81	0.61	0.77
21	fg3_m12	1	1.86	3	44.75	0.1	0.06	18.92	0.59	0.57	6.38	18.05	0.91	1.16
22	fg3_m12	1	1.86	4	41.77	0.09	0.03	6.84	0.14	0.12	17.26	11.92	0.3	0.48
23	fg3_m12	1	1.86	6	38.02	0.12	0.12	37.25	0.5	0.66	28.0	24.1	3.84	0.77
24	fg3_m12	1	1.91	0	1.78	0.08	0.03	14.81	0.36	0.19	32.0	50.03	0.3	0.48
