Counter	Image	class label	Myr	Viewpoint	Delta PA	v_asym	s_asym	resids	lambda_r	epsilon	A	A_2	deltapos	deltapos2	nspax	re	meanvel	varvel	skewvel	kurtvel	meansig	varsig	skewsig	kurtsig	abskewvel	abskewsig	random
0	fg1_m13_iso0.333_rotated	0	0.05	0	48.1	0.08	0.08	13.02	0.71	0.3	4.99	15.53	0.61	0.48	764	11.77	0.03	51.53	-0.05	-1.18	32.79	13.0	-0.01	0.44	0.05	0.01	-1.58
1	fg1_m13_iso0.333_rotated	0	0.05	1	89.09	0.02	0.07	7.89	0.8	0.53	1.93	6.37	0.68	1.16	710	12.72	-0.47	61.68	-0.04	-1.07	31.3	17.17	-0.34	-0.68	0.04	0.34	-1.46
2	fg1_m13_iso0.333_rotated	0	0.05	2	87.09	0.02	0.05	4.92	0.8	0.53	3.67	11.37	0.3	0.21	703	12.63	-4.01	61.85	0.01	-1.15	33.72	13.71	-0.47	0.09	0.01	0.47	0.83
3	fg1_m13_iso0.333_rotated	0	0.05	3	86.64	0.02	0.05	8.29	0.79	0.55	1.25	3.57	0.3	0.48	699	12.57	-3.62	62.78	0.02	-1.08	32.15	14.7	-0.16	-0.45	0.02	0.16	-1.25
4	fg1_m13_iso0.333_rotated	0	0.05	4	76.17	0.1	0.07	4.71	0.3	0.03	37.4	22.94	0.3	0.21	368	10.62	-0.81	12.99	-0.03	-0.89	34.35	13.25	-0.67	0.91	0.03	0.67	0.21
5	fg1_m13_iso0.333_rotated	0	0.05	5	23.88	0.37	0.09	3.9	0.29	0.03	48.54	28.22	0.0	0.48	368	10.83	-6.67	11.88	0.1	-0.79	35.46	14.1	-0.5	0.13	0.1	0.5	2.23
6	fg1_m13_iso0.333_rotated	0	0.05	6	15.12	0.38	0.05	6.08	0.32	0.04	22.46	24.08	0.0	0.77	368	10.95	-3.1	12.92	-0.14	-0.9	33.67	12.17	-0.18	0.03	0.14	0.18	0.18
7	fg1_m13_iso0.333_rotated	0	0.1	0	89.93	0.03	0.06	7.66	0.72	0.31	5.65	20.3	0.3	0.77	764	11.81	-4.41	52.88	0.01	-1.15	35.04	13.41	-0.33	-0.03	0.01	0.33	-1.57
8	fg1_m13_iso0.333_rotated	0	0.1	1	84.18	0.03	0.06	10.87	0.79	0.55	3.04	9.48	0.0	0.21	678	12.23	1.04	64.85	-0.03	-1.14	35.73	12.13	-0.38	0.43	0.03	0.38	-1.53
9	fg1_m13_iso0.333_rotated	0	0.1	2	88.37	0.02	0.06	8.65	0.78	0.52	3.07	9.74	0.96	1.44	688	12.18	-0.39	64.72	-0.04	-1.14	36.79	12.7	-0.22	0.5	0.04	0.22	-0.96
10	fg1_m13_iso0.333_rotated	0	0.1	3	89.51	0.05	0.06	9.55	0.79	0.53	13.59	21.85	0.0	0.77	668	11.94	-1.06	65.26	-0.02	-1.16	35.54	13.37	-0.47	0.56	0.02	0.47	-0.31
11	fg1_m13_iso0.333_rotated	0	0.1	4	32.86	0.15	0.08	5.34	0.29	0.03	28.51	26.07	0.0	0.21	368	10.94	-2.09	12.46	0.04	-0.92	37.08	12.98	-0.56	0.62	0.04	0.56	1.1
12	fg1_m13_iso0.333_rotated	0	0.1	5	64.28	0.09	0.07	4.5	0.29	-0.06	33.53	46.1	0.3	0.77	764	11.4	-2.86	14.61	-0.14	-1.15	33.68	9.39	-0.15	2.23	0.14	0.15	1.21
13	fg1_m13_iso0.333_rotated	0	0.1	6	76.94	0.09	0.09	4.56	0.3	-0.03	48.95	35.0	0.3	0.48	368	10.91	-2.01	13.16	-0.07	-0.95	36.03	12.91	-0.34	0.33	0.07	0.34	0.82
14	fg1_m13_iso0.333_rotated	0	0.29	0	88.25	0.05	0.09	8.74	0.67	0.3	10.67	21.7	0.3	0.77	368	11.26	8.1	44.44	-0.18	-1.01	41.3	11.46	0.25	0.79	0.18	0.25	-0.2
15	fg1_m13_iso0.333_rotated	0	0.29	1	88.88	0.05	0.05	9.09	0.78	0.54	3.5	11.91	0.0	0.21	663	12.05	6.22	64.17	-0.11	-1.14	36.44	13.88	-0.49	0.37	0.11	0.49	1.26
16	fg1_m13_iso0.333_rotated	0	0.29	2	74.85	0.04	0.08	8.58	0.78	0.53	2.34	5.7	0.0	0.21	646	12.11	5.19	64.39	-0.11	-1.19	37.22	11.19	-0.34	0.39	0.11	0.34	0.0
17	fg1_m13_iso0.333_rotated	0	0.29	3	89.01	0.02	0.05	8.05	0.76	0.51	3.92	12.15	0.3	0.77	649	11.64	-14.81	65.1	0.11	-1.17	39.01	10.72	-0.43	0.93	0.11	0.43	1.72
18	fg1_m13_iso0.333_rotated	0	0.29	4	83.46	0.08	0.07	3.4	0.39	0.91	11.55	31.19	0.96	1.68	1028	73.64	-4.28	14.96	0.02	-1.28	31.77	8.73	0.98	2.74	0.02	0.98	-1.01
19	fg1_m13_iso0.333_rotated	0	0.29	5	78.16	0.15	0.09	4.9	0.3	-0.1	21.53	18.97	0.68	0.21	368	10.68	-5.9	11.26	-0.02	-0.94	36.05	9.7	-0.22	0.55	0.02	0.22	-1.17
20	fg1_m13_iso0.333_rotated	0	0.29	6	80.29	0.12	0.07	4.02	0.35	0.94	12.82	47.22	0.0	1.07	1034	244.54	-3.73	14.94	-0.08	-1.36	31.95	9.47	-0.04	1.02	0.08	0.04	1.25
21	fg1_m13_iso0.333_rotated	0	0.49	0	84.91	0.04	0.08	7.97	0.69	0.33	8.0	21.06	0.3	0.48	754	11.43	1.29	52.64	-0.11	-1.11	37.37	9.54	0.23	1.14	0.11	0.23	-0.07
22	fg1_m13_iso0.333_rotated	0	0.49	1	87.7	0.04	0.08	8.67	0.76	0.56	6.57	19.47	0.43	0.48	638	11.75	5.89	65.0	-0.18	-1.18	39.07	9.99	0.11	-0.05	0.18	0.11	0.56
23	fg1_m13_iso0.333_rotated	0	0.49	2	87.66	0.03	0.05	8.62	0.86	0.48	2.47	10.75	0.3	0.21	924	27.63	-3.15	80.88	-0.07	-1.43	39.22	8.37	0.33	1.32	0.07	0.33	0.4
24	fg1_m13_iso0.333_rotated	0	0.49	3	0.81	0.66	0.08	15.51	0.87	0.51	2.8	9.72	0.0	0.48	924	25.86	-6.02	82.67	-0.01	-1.46	37.3	9.81	0.39	0.87	0.01	0.39	-0.59
25	fg1_m13_iso0.333_rotated	0	0.49	4	80.56	0.08	0.09	3.21	0.31	0.05	9.99	20.31	0.68	0.21	762	11.43	-5.18	13.88	-0.1	-1.21	32.77	8.68	0.25	2.69	0.1	0.25	0.06
26	fg1_m13_iso0.333_rotated	0	0.49	5	48.06	0.15	0.07	5.2	0.29	-0.02	27.64	35.17	0.3	0.64	758	11.48	-2.74	13.84	-0.03	-1.26	34.25	7.42	-0.13	2.08	0.03	0.13	2.41
27	fg1_m13_iso0.333_rotated	0	0.49	6	66.83	0.14	0.05	3.66	0.3	0.03	12.15	12.44	0.43	0.48	368	11.17	-6.05	12.74	0.05	-1.13	36.67	9.49	-0.65	1.61	0.05	0.65	0.94
28	fg1_m13_iso0.333_rotated	0	0.98	0	72.4	0.1	0.07	27.04	0.77	0.81	24.62	49.36	0.3	0.48	830	80.93	-5.66	58.12	-0.04	-1.38	39.49	8.64	-0.06	1.48	0.04	0.06	-0.45
29	fg1_m13_iso0.333_rotated	0	0.98	1	86.48	0.04	0.06	7.48	0.81	0.5	2.62	5.7	0.96	0.48	677	16.0	3.21	72.45	-0.2	-1.33	42.28	8.75	-0.05	1.3	0.2	0.05	-0.61
30	fg1_m13_iso0.333_rotated	0	0.98	2	86.48	0.03	0.05	8.45	0.83	0.49	16.89	25.13	0.68	0.48	719	17.47	-5.72	75.75	0.0	-1.43	42.27	7.7	0.63	0.71	0.0	0.63	-0.81
31	fg1_m13_iso0.333_rotated	0	0.98	3	84.13	0.05	0.08	13.21	0.84	0.53	3.35	11.73	0.68	0.21	762	29.83	-4.78	80.93	-0.08	-1.48	43.68	8.37	0.89	0.59	0.08	0.89	-0.11
32	fg1_m13_iso0.333_rotated	0	0.98	4	73.73	0.18	0.08	4.55	0.34	0.24	17.09	31.41	0.0	0.88	870	24.59	-6.55	12.89	-0.11	-1.29	34.26	6.82	0.84	3.03	0.11	0.84	0.35
33	fg1_m13_iso0.333_rotated	0	0.98	5	77.87	0.1	0.06	3.22	0.34	0.71	21.43	33.72	2.21	1.83	881	60.78	-4.62	13.32	-0.15	-1.25	34.83	7.02	0.25	2.2	0.15	0.25	-0.06
34	fg1_m13_iso0.333_rotated	0	0.98	6	35.75	0.12	0.1	5.66	0.3	0.03	16.05	15.28	0.3	0.88	689	12.62	-6.31	13.9	-0.0	-1.36	35.45	6.67	0.2	2.51	0.0	0.2	-1.48
35	fg1_m13_iso0.333_rotated	0	1.96	0	85.34	0.08	0.05	11.64	0.56	0.32	13.7	18.0	1.25	0.64	544	25.62	-14.87	46.26	0.04	-1.28	53.44	10.07	0.69	-0.29	0.04	0.69	1.09
36	fg1_m13_iso0.333_rotated	0	1.96	1	87.01	0.04	0.06	10.18	0.67	0.53	2.98	5.94	0.3	0.77	580	32.37	-7.53	68.47	0.0	-1.43	53.52	12.18	0.85	1.74	0.0	0.85	1.38
37	fg1_m13_iso0.333_rotated	0	1.96	2	79.63	0.03	0.06	5.81	0.8	0.7	2.01	3.6	0.3	0.48	598	52.99	-10.54	71.3	0.02	-1.31	48.12	8.05	0.58	0.34	0.02	0.58	-0.19
38	fg1_m13_iso0.333_rotated	0	1.96	3	80.62	0.04	0.08	9.06	0.8	0.64	2.43	5.62	0.68	0.48	604	45.11	-2.67	78.48	-0.07	-1.42	50.17	11.93	1.07	0.42	0.07	1.07	-1.06
39	fg1_m13_iso0.333_rotated	0	1.96	4	82.7	0.19	0.05	5.77	0.2	-0.25	43.09	14.65	0.3	0.77	382	12.37	-6.32	9.0	-0.15	-0.12	41.67	8.77	-1.19	4.44	0.15	1.19	0.1
40	fg1_m13_iso0.333_rotated	0	1.96	5	39.73	0.14	0.05	5.06	0.29	0.08	22.54	8.48	0.68	0.48	457	20.57	-6.44	12.98	0.18	-1.42	41.54	7.97	-0.43	4.36	0.18	0.43	-0.49
41	fg1_m13_iso0.333_rotated	0	1.96	6	76.32	0.13	0.09	4.63	0.3	0.05	13.4	7.12	0.0	0.48	463	20.54	-2.6	15.73	-0.27	-1.13	42.64	7.78	-0.28	-0.01	0.27	0.28	0.15
