Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5008010211958119	-1.7527102736897933	2.725713529831906	-0.04752905762716671	-0.002079386206627974	0.8622	0.1438551043914966
1	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.4947485457808036	-1.6954846484981945	2.6244729374797675	-0.03764308552245582	-0.001461078517273952	0.7975	0.11842215661402931
2	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5090286961221332	-1.6642793448931743	2.6308756895247702	0.002305761300028356	0.009624960561867414	0.8091	0.0802862592859263
3	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.47972936452379367	-1.7736796224142484	2.7044318762439374	0.031184041921880484	0.0029112321547829926	0.9369	0.14682007510712813
4	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5236005430970458	-1.994438368996752	3.0188171479937242	-0.009024650863725713	0.0049855801306403725	2.7798	0.18099158672789536
5	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.520030952758126	-1.76775349678436	2.7689876807326086	-0.10591996246317933	-0.0076469703644952225	0.88	0.10961898004864185
6	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5130582955309354	-1.7378562238072626	2.7250538572910097	-0.06094925840326371	0.002375001403339062	0.8722	0.09457077344544734
7	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5342215068801776	-1.8065067753455513	2.8123326535105964	-0.04567534893485467	-0.026580785373463443	0.9139	0.23438406806532028
8	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.5195128923444603	-1.7634505601307917	2.771160221423144	-0.07454250839950233	-0.02841281919473164	0.9367	0.09716766381483537
9	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.5227736701474237	-1.736455339867142	2.7912723196614877	0.015421156859747943	-0.03117266152809323	1.1584	0.19573371508488252
10	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5165462047229179	-1.7778701093871194	2.7690446899551615	-0.06860047973897078	-0.009038331635989534	0.8883	0.057788092796074254
11	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5137195857829585	-1.7763222330807373	2.738639021340889	-0.052321426471708045	-0.001869022878659918	0.8951	0.05752540483949966
12	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	0	1	0	0	0.4949753917296521	-1.7658769014412339	2.7175476907976432	-0.04987698020078626	-0.00500479118890305	0.9181	0.06065992025161672
13	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5182944638103791	-1.7671192410946457	2.7631851253443642	-0.04931995455894333	-0.012251195955810583	0.8809	0.07472550727761339
14	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	0	1	0	0	0.5237883026094441	-1.7823655238755376	2.755778253273097	-0.034349482386496856	-4.083920253826214e-05	0.921	0.12561494841508847
15	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.49866247450435264	-1.7543830191831318	2.7625753532460577	-0.03708138600486416	-0.005578194343428149	0.9271	0.054949626903148016
16	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5227401407580232	-1.7796681745661664	2.765839467398293	-0.009575854798656386	0.0020576335290699342	0.9144	0.08004169222920506
17	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.5440263675913098	-1.7674844111299322	2.809816720042473	-0.043068398069238685	-0.01148258892997501	1.0181	0.13040658448601045
18	isolated_galaxies/m1_fg0.1/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5514816938473202	-2.0114137709361044	3.476823445225556	-0.03648321157805993	-0.005412171833670848	2.2996	0.2327322968139857
19	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.4899555988825118	-1.7785480949644947	2.774992048764341	-0.022194289369753546	0.0010144194092682522	0.9126	0.06942691929003172
20	isolated_galaxies/m1_fg0.3/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5036087548504935	-1.719191705202389	2.6843024164858265	-0.027492265413123596	0.00043716657431278077	0.8429	0.0666241038464834
21	isolated_galaxies/m1_fg0.3/rot_45/broadband_020.fits	0	0.2	0	1	0	0	0.48134354568326954	-1.7468867000787134	2.637183691034905	0.006321843144620391	0.006388097353356699	0.8777	0.06194474465194599
22	isolated_galaxies/m1_fg0.3/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5170811716035494	-1.7716023325573844	2.726320644174412	-0.010333944028661845	0.0064678711052831095	0.8532	0.08002608703770824
23	isolated_galaxies/m1_fg0.3/rot_45/broadband_040.fits	0	0.39	0	1	0	0	0.47595848762618104	-1.726817299931525	2.6265344471365113	-0.0014743560405929674	0.005370325155991701	0.8781	0.05641117367889405
24	isolated_galaxies/m1_fg0.3/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.4737606896484809	-1.7182889100618641	2.6996297370394	0.03538809002150238	0.011409467985953645	0.8977	0.12451572154437648
25	isolated_galaxies/m1_fg0.3/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5139769291357225	-1.7616607616222562	2.7160077058190923	0.04607870082042507	0.013059433435258082	0.9369	0.07913116644670617
26	isolated_galaxies/m1_fg0.3/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.5209760998114571	-1.74577638528555	2.7069160242916492	0.07408657893919458	0.015874612300586063	0.9557	0.13143866051237732
27	isolated_galaxies/m1_fg0.3/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5212075900095943	-1.827443636007032	2.8863103889929786	0.07165931830448875	0.014520150657230712	1.4196	0.13404329696180114
