Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.49401276947244804	-1.751559671349374	2.75655491369379	-0.08879286100885382	-0.005641771656511508	0.874	0.08397675988082397
1	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5068395695741016	-1.7381269873973215	2.7120155430556645	-0.08899532850517249	-0.007070683375107626	0.8716	0.12250984921501083
2	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5358991090967172	-1.8058017817801464	2.7867608207520695	-0.06738968403506845	-0.0037156576685728995	0.8944	0.10905716638872785
3	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.49667035673588905	-1.7448444845293816	2.741095600210021	-0.09488252941692463	-0.032022155576489096	0.9217	0.16308107358653368
4	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.49345261408463936	-1.7013025120971625	2.7864540711040338	0.024681010993927763	-0.04563223626264477	1.1626	0.19631183697426344
5	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.49422950966409107	-1.7272895137834736	2.784764502752691	-0.07377565761201926	0.0017801686115703522	0.8451	0.05956512373536723
6	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	1	1	0	0	0.487533368061505	-1.7019789699342112	2.7455893593057317	-0.048168224093920554	-0.0024865918201173627	0.8302	0.08810575975555389
7	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.5214793371844012	-1.790564481405911	2.8561377275027295	-0.12279475864397296	-0.015178571732887794	0.8835	0.08784920514504461
8	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	1	1	0	0	0.48654018786697495	-1.7381204429839567	2.7901094059035376	-0.06522313977538007	-0.005879013461417212	0.863	0.11503800871865487
9	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_100.fits	0	0.98	1	1	0	0	0.5151831004459894	-1.6697292282999738	2.7862446064687303	0.008553443244334527	-0.0021016549204776677	1.0174	0.2013655440916921
10	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.5252674361796965	-2.009067910153454	3.5437197595042673	-0.1193389296199133	-0.021326455306335125	2.3934	0.17643908271412156
11	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.500390492420967	-1.7219729413056213	2.794363516824339	-0.04764171312220669	0.004637346100835253	0.8464	0.06649789925244497
12	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	2	1	0	0	0.5141827377391271	-1.7649984975279787	2.7767606389364174	-0.060388735549693456	-0.0013595724727616138	0.8553	0.09272992237917589
13	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.526500463201802	-1.7393148561523912	2.8323435158489736	-0.030662269864806337	2.768481110054974e-06	0.8726	0.09331520149728703
14	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	2	1	0	0	0.48050826818653297	-1.6930869646050268	2.726076240772578	-0.04867767092819099	0.009621259908820507	0.8708	0.17391290790307895
15	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_100.fits	0	0.98	2	1	0	0	0.5309968249894148	-1.7841110726004743	2.8979529592302864	-0.000503417693626437	-0.00026152776044910907	1.0445	0.17078598048140023
16	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_200.fits	0	1.96	2	1	0	0	0.5425614082796241	-1.8389668433995503	3.1861645643582133	-0.0665594418433486	0.007364293235638699	2.0688	0.22390974373016118
17	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	3	1	0	0	0.49763820078651977	-1.7192147604953456	2.7800653694467368	-0.07335450018169405	-0.003011247726231559	0.8523	0.09078641847469161
18	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	3	1	0	0	0.5034991694618254	-1.7181613445461004	2.802236969818571	-0.07480265471481784	-0.004126577815661412	0.8192	0.083784636676585
19	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_030.fits	0	0.29	3	1	0	0	0.5226332936107512	-1.7203826460093843	2.7935383833356635	-0.046178776760238724	-0.009815263354172757	0.8785	0.09785381733420376
20	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	3	1	0	0	0.4897424047941063	-1.7494656697685511	2.8475852940112008	-0.060008456137998156	0.0004382446912892184	0.8701	0.10109431801281993
21	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_100.fits	0	0.98	3	1	0	0	0.5123790555730934	-1.8227685780509337	2.941685549136031	-0.022964435496370325	0.0018208155385271985	1.0512	0.1563086701251717
22	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_200.fits	0	1.96	3	1	0	0	0.5268252290938846	-1.941066508499251	3.3275202792212473	-0.07140376176662679	0.0009941021237165728	2.2173	0.17215480241091874
23	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	4	1	0	0	0.5126788901141274	-1.7653176050433368	2.6598050002751017	-0.154298574871206	-0.10183542077395674	0.8743	0.13963429787522644
24	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	4	1	0	0	0.5186691326209484	-1.7544609633431805	2.6292507898510804	-0.08263443628761401	-0.079003319905278	0.8784	0.08001178473618162
25	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	4	1	0	0	0.5078517549807173	-1.749824664270457	2.632686266015598	-0.10108707195830219	-0.11683643852498364	0.9121	0.13506029611072354
26	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	5	1	0	0	0.4956750566132728	-1.7541015777533011	2.681418608373998	-0.11338667740294593	-0.055241063369660226	0.8874	0.08027876967115533
27	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	5	1	0	0	0.4959467784685895	-1.7434694615151465	2.632163367318019	-0.04881445978223617	-0.06282172501815839	0.8916	0.11697625700333714
28	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	5	1	0	0	0.5058348388312379	-1.7391644226905758	2.6522121006115125	-0.1031410097704147	-0.11922513811013111	0.9475	0.16253687201877176
29	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_100.fits	0	0.98	5	1	0	0	0.5007782013494037	-1.7391570961363934	2.7257205630087373	0.024770445735169556	-0.1731034634271283	1.2859	0.2511735741679972
30	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_005.fits	0	0.05	6	1	0	0	0.52050719048127	-1.7789546091769202	2.6824939470854487	-0.12041885180830082	-0.09256208121626583	0.8938	0.056148248050801736
31	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_010.fits	0	0.1	6	1	0	0	0.514888868828886	-1.7537730924012978	2.622042883507519	-0.07786560909641632	-0.08485053595401258	0.8786	0.10399613396331847
32	isolated_galaxies/m0.333_fg0.1/rot_45/broadband_050.fits	0	0.49	6	1	0	0	0.5123169760819444	-1.7399657599242586	2.6861058121943966	-0.09864892704464225	-0.11038621212866886	0.9475	0.1279040880812071
