Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5107774893007602	-1.7671103966972672	2.7614226898528322	-0.04367283922009153	0.00077340130808382	0.8811	0.06078804923237806
1	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5099129089954726	-1.7719197160150453	2.7520806940843014	-0.03192647757368838	-0.006941622324057766	0.8849	0.0433547861459728
2	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	0	1	0	0	0.49672524017614916	-1.7777146344238315	2.702142864421098	-0.024700034297244135	0.0017127753842722327	0.9143	0.06593447400674637
3	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.517075002473897	-1.7684662602613002	2.7743045286584227	-0.06776170797099217	-0.00596541665095451	0.8831	0.09680903720536775
4	isolated_galaxies/m1_fg0.1/rot_45/broadband_040.fits	0	0.39	0	1	0	0	0.5144966490828222	-1.7713839412746346	2.7529390995887497	-0.050588087785999575	-0.006179525850660213	0.9155	0.10971221198112727
5	isolated_galaxies/m1_fg0.1/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.48100434906275363	-1.7448458054849614	2.7549321521133963	-0.020261391245763122	-0.0044161359558530355	0.9236	0.062158550166899265
6	isolated_galaxies/m1_fg0.1/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5187811670461224	-1.7764122094323507	2.763805910605649	-0.019103762744466072	0.0005879572192690931	0.907	0.1258636521196131
7	isolated_galaxies/m1_fg0.1/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.5349491430066564	-1.7613473020738444	2.807003391302068	-0.03005676432627454	0.003643130473357638	1.0066	0.14880181053164984
8	isolated_galaxies/m1_fg0.1/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5486576865799591	-1.9999800776460692	3.460008818881831	-0.007944640834038388	-0.004900426776621516	2.359	0.2378406485289983
9	isolated_galaxies/m1_fg0.1/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.4970099824069233	-1.7255789195535276	2.792591627717192	-0.014310627100660927	0.002226830273028334	0.8498	0.05975929666848175
10	isolated_galaxies/m1_fg0.1/rot_45/broadband_010.fits	0	0.1	1	1	0	0	0.5089849775483895	-1.7483034296892421	2.7866786550870977	-0.05057047973846359	-0.003318849373024931	0.8406	0.05675654155356894
11	isolated_galaxies/m1_fg0.1/rot_45/broadband_020.fits	0	0.2	1	1	0	0	0.4792080758282696	-1.734249262628524	2.7503668930132323	-0.03597393499674637	-0.004077559993681453	0.846	0.08774856681744654
12	isolated_galaxies/m1_fg0.1/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.5081453241129257	-1.7164090956867124	2.7923060761241576	-0.027255532903117042	-0.0012492277874891257	0.8499	0.06646085540724468
