Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	0	1	0	0	0.5461653410027643	-2.4987546713410853	4.753843813801299	0.05244549832312658	0.002839328494286185	19.999	0.44068604739203876
1	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	0	2	0	0	0.5617356334275234	-0.8186337381557914	1.3954948742884412	0.3236428150765472	0.1218580690516885	7.163	0.29017651662660093
2	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	0	2	0	0	0.5848031059562518	-0.9064508775288628	1.4288847479319093	0.4605980697473578	0.10657923306164908	3.3016	0.689953448077773
3	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_205.fits	1	2.0	0	2	8.933426356185471	9.88188965317058	0.611798763901859	-0.9407490422725042	4.443176044853887	0.3040037581944421	0.005918708114021228	7.4373	0.5123357811440983
4	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	0	1	0	0	0.6197480776437653	-1.7636349241176332	3.6267764446628132	0.1491851983611823	-0.0016736433892079164	1.9505	0.7649494242186151
5	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	0	1	0	0	0.5535278124388001	-2.0481725828956745	3.611200224721054	0.14112069965964924	-0.004790388329609685	2.9355	0.33671272897402366
6	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	0	1	0	0	0.5687595909738705	-2.03502534211071	3.950555650025115	0.15896509571917752	-0.001195514815020007	4.4203	0.3197124601888394
7	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	0	1	0	0	0.6107679947534532	-2.224575264475576	4.688370347773581	0.11064648853801283	-0.00019915697803083465	9.8848	0.31202110752498674
9	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_260.fits	1	2.54	0	1	0	0	0.6116064985894653	-2.3402839865092537	4.697590402153841	0.11155669764622693	0.003507089461140272	18.497	0.24956978761432402
10	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	0	1	0	0	0.6389329394324647	-2.388148012243822	4.749374388301514	0.058356309035644476	-0.001678600504302301	18.637	0.18132034077786807
11	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	1	2.69	0	1	0	0	0.6262684993049846	-2.1995488984181435	4.594264556919004	0.13433368517569477	-0.002645176195773889	17.343	0.20285147785274027
13	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	1	3.62	0	1	0	0	0.6017199479249005	-2.350904921487599	4.562112788334517	0.06604390935145944	0.004185190878410823	13.413	0.1387265434139483
14	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	1	4.6	0	1	0	0	0.5804224701600516	-2.274618955519645	3.934202376550483	-0.015981537984324876	-0.007863978566375246	5.0056	0.09070308200555123
16	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_315.fits	1	5.57	0	1	0	0	0.600277920053928	-2.4462902021933544	4.482773777072216	0.004605576179652201	-0.0027875055229458724	11.427	0.19815701861113244
18	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	0	1	0	0	0.5125379155585561	-1.803638020698538	2.7684402029837556	-0.023900278853066056	-0.019354128876060257	0.9329	0.04999256932279979
19	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	1	0.1	0	1	0	0	0.5146522028671848	-1.757266079947832	2.651863340577607	-0.035204974746481606	-0.005670150991162235	0.8701	0.07773247004346155
20	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	1	0.2	0	1	0	0	0.48256851005852325	-1.7796567633049354	2.689412582160773	-0.00611287033208285	0.005818914189748367	0.9389	0.10334820450217981
21	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_030.fits	1	0.29	0	1	0	0	0.5347687504509581	-1.8002659488631898	2.7426257581603473	-0.007958309027162725	0.004010903228198341	0.8738	0.08931308860906803
22	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	0	2	12.478613908347823	2.0707134290164206	0.5020741567513352	-0.881253894762178	1.7219094145190792	0.3113995951027809	0.011229823614230547	0.8373	0.4120867858149507
23	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_080.fits	1	0.78	0	1	0	0	0.6778000888557859	-2.326041127246651	5.008812989515851	0.20324905634396098	0.006119398413884536	19.998	0.3467123382492903
25	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	0	1	0	0	0.6261951075539379	-2.622216087728669	5.065840325816535	0.10938359598397669	0.00037523405255009877	19.999	0.37336955914016495
27	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_160.fits	1	1.56	0	1	0	0	0.5908772328823747	-2.20266432175488	4.935861049946141	0.16367768610158404	0.011355705623883685	19.998	0.39000861813035276
28	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	1	1	0	0	0.5817103435900408	-2.413812570868664	4.296867426741949	0.02433674378401498	0.006667551248729178	6.7777	0.31633501659955826
29	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	1	2	7.2847411400856075	2.1466438670487022	0.5486254851259154	-0.7844820639602609	1.7631644400614688	0.19007059582438135	0.09478456137401799	4.5214	0.41828775387965317
30	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	1	2	7.275610959187183	2.1430879777276104	0.5591449593093409	-0.7868812082470149	1.7684438446613504	0.6883211364011221	0.08526184220344213	2.2746	0.4996720066305365
31	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	1	2	1.6697048399342977	4.250891302759613	0.5842602392788188	-1.1382656879900839	2.9194395571850205	0.23710259179711607	0.03267531338365192	4.5483	0.30859436947664415
32	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	1	1	0	0	0.5861219937208807	-2.2887447447715217	4.131675947319373	0.18158562176467208	0.006041626431940448	5.841	0.70010553588988
33	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	1	1	0	0	0.5762796806439509	-1.9898468502108375	4.292860492723356	0.21075928651446293	0.006443557093366104	7.3955	0.4032734062969813
34	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	1	1	0	0	0.6237943068671308	-1.993059156471054	4.642982885849342	0.2229930008592827	-0.0018125913407831785	8.3898	0.6651506399137517
35	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	1	1	0	0	0.6367691566430976	-2.1675075149764766	4.86060013964941	0.1596680675125518	0.003780127000742675	19.528	0.37943793173081225
37	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_260.fits	1	2.54	1	1	0	0	0.6155210795635824	-2.30464591152678	4.736974884389577	0.14838158401160517	-0.0006957919519819793	19.993	0.30551760415902346
38	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	1	1	0	0	0.6276086538065367	-2.4098305164016702	4.804968404627411	0.08113155822304233	-0.002283864540937112	19.976	0.2766803009456555
40	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	1	3.62	1	1	0	0	0.5675945344377297	-2.181382366832258	3.565275386018733	0.013506863258207682	0.003944409650489281	3.3406	0.09030665449253088
41	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_305.fits	1	4.6	1	1	0	0	0.5654760473970287	-2.4003817936163183	4.392987868990469	0.007840029069933589	0.0010602963822408506	14.304	0.08211254102590455
43	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_315.fits	1	5.57	1	1	0	0	0.5571289995313433	-2.3432382679863992	4.187074990303496	-0.08393307492177195	-0.05643274046901547	9.8431	0.21579724058947858
45	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	1	1	0	0	0.5945338819311613	-1.6102455095512	3.335638838445964	-0.014636952376728594	0.06273422129079749	0.5556	0.07308578995112297
46	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_010.fits	1	0.1	1	1	0	0	0.5934752576983253	-1.5930488936173508	3.2953591884125535	0.016034436524762004	0.06759125554177606	0.5545	0.09641363835652136
47	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_020.fits	1	0.2	1	1	0	0	0.5888628510451219	-1.5577860256198894	3.27533803512177	-0.024202980035966912	0.060878954882320056	0.5231	0.09466063313040175
48	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_030.fits	1	0.29	1	1	0	0	0.5886047588812194	-1.5760885689471666	3.3416123952835823	-0.04522587099499228	0.06044486162580512	0.5725	0.0887029351123526
49	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_040.fits	1	0.39	1	2	0	0	0.48265775569570013	-1.0280785499664842	2.8990006022630457	0.39658554608132984	-0.07838204856571679	0.7357	0.4159856894626847
51	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	1	1	0	0	0.6230449534371435	-2.1965191403180166	3.8189083773095134	0.08536786446951733	-0.0020098736320030854	3.5746	0.2956468383771661
53	q0.5_fg0.3_allrx10_sunruns/hires_kin_early_cen1/broadband_160.fits	1	1.56	1	1	0	0	0.6231759481058049	-2.0809860963665416	4.181182278317064	0.12188752185002698	0.003423352163543396	6.061	0.2107350500987572
54	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_170.fits	1	1.66	2	1	0	0	0.6163120863993725	-2.4311338633207935	4.14258314518133	0.06101969281354148	0.003364966808636669	9.8266	0.3352116636890983
55	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_180.fits	1	1.76	2	2	7.5797126990591135	9.607270084891201	0.6101776435670828	-1.1646172953958418	4.27108137486897	0.3621574280287605	-0.014488568153276496	9.837	0.7866490742715537
56	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_185.fits	1	1.81	2	2	5.837451510624224	8.144041911530488	0.5893697205339772	-1.1307241414549978	1.650682915988694	0.6043284759236275	0.09375011091913853	7.8055	0.6928058646534885
57	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_205.fits	1	2.0	2	2	8.127818165958756	6.260946604664121	0.6370524433856318	-0.7848043984923646	4.227106764492012	0.3340959612863935	0.014920734466036516	4.2886	0.5490271676934786
58	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_210.fits	1	2.05	2	2	1.505306609779036	4.394606563369457	0.5632859637480764	-1.433835568198127	2.93349056031089	0.27730902094862636	0.006735599754438835	2.0838	0.3598486940518461
59	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_220.fits	1	2.15	2	1	0	0	0.5840543439760679	-2.2056613877866798	3.986352170491714	0.057891141054318765	-0.007888550709681766	3.0034	0.16204125291106275
60	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_225.fits	1	2.2	2	1	0	0	0.5953781747231747	-1.9015784240129945	4.040713285097259	0.16217365172128032	0.0025650886862483516	3.6845	0.20315694542309093
61	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_230.fits	1	2.25	2	1	0	0	0.6189563293159366	-1.856106528726006	4.533422028908386	0.19808176202450992	-0.005845576166960705	5.7832	0.6648574407924247
62	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_240.fits	1	2.35	2	1	0	0	0.6101560986893896	-2.2493379708609123	4.7329174405640275	0.14603605569017136	0.008392204518796298	14.703	0.3425697766708211
63	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_265.fits	1	2.59	2	1	0	0	0.5398966969175585	-2.13311258822154	3.5620515937336714	0.046439589929153056	0.004100898137229724	3.1038	0.22898786011017175
64	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_275.fits	1	2.69	2	1	0	0	0.5807204365481564	-2.1171995823602408	3.6100645149005963	0.042412511988100816	-0.005325038955497443	2.7591	0.22116722276010434
66	q0.5_fg0.3_allrx10_sunruns/hires_kin/broadband_295.fits	1	3.62	2	1	0	0	0.5747567828639861	-2.407451377880567	4.408613148807486	0.03139427667228491	0.005260513960992102	13.426	0.07304184671901003
