Counter	Image	Merger	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.49999338321036324	-1.750853417056835	2.701773938182959	-0.06459916558082766	-0.003501454195550869	0.857	0.07002217032218595
1	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5162247593230942	-1.72069000300616	2.6307375321372692	-0.025420258110959288	0.0038911072019955735	0.8036	0.13639538348894825
2	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5135733444833809	-1.6669202549984763	2.6381165767405204	-0.019202271208561404	0.005418328315922927	0.8092	0.062252024931783084
3	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.48222100716856836	-1.7794531542751808	2.700816573657008	0.009539381576680694	0.004623228402084613	0.9293	0.13473430023721988
4	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5155083113799477	-1.9958917374772922	3.0387804424343146	0.003233903852324214	0.005917929991654097	2.8251	0.21044395654305637
5	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.48863045833603685	-1.7823229519690444	2.761917056366232	-0.03343803591080878	-0.0031414670920241012	0.9168	0.06936423147664582
6	isolated_galaxies/m1_fg0.3/rot_45/broadband_010.fits	0	0.1	0	1	0	0	0.5051865080961395	-1.7201486327643722	2.6706405714986188	-0.012457668090434248	0.0033540088002494252	0.8397	0.09072028894310508
7	isolated_galaxies/m1_fg0.3/rot_45/broadband_020.fits	0	0.2	0	1	0	0	0.47487053819501046	-1.7429809608911824	2.649971842868294	-0.010121110247332423	0.0062653872870747475	0.8753	0.07988242571821873
8	isolated_galaxies/m1_fg0.3/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5080168630095525	-1.7644064877078587	2.716511510577877	-0.01346165118264344	0.01037015189403775	0.8497	0.09361518194326444
9	isolated_galaxies/m1_fg0.3/rot_45/broadband_040.fits	0	0.39	0	1	0	0	0.49710232314398745	-1.7398230700909179	2.6148282570247092	0.00504157422206132	0.011419599560151573	0.8737	0.07061022917387794
10	isolated_galaxies/m1_fg0.3/rot_45/broadband_050.fits	0	0.49	0	1	0	0	0.47506774198478785	-1.7119404087711587	2.682024285548926	0.03751865244756423	0.015296174732000371	0.8842	0.06785530100439321
11	isolated_galaxies/m1_fg0.3/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5120753021826069	-1.7625495962894744	2.7171373669657832	0.06078429467720175	0.011835401193628504	0.9376	0.06321592342681168
12	isolated_galaxies/m1_fg0.3/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.5067375593930467	-1.740653917582333	2.6982623204119105	0.07051052216077058	0.018312862912077912	0.9556	0.12480907374093667
13	isolated_galaxies/m1_fg0.3/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.5211896125773599	-1.8200752565183453	2.8926073761645617	0.04217492011696007	0.009835989705626224	1.4068	0.16888647688301847
14	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.4936447839196425	-1.7418529527637268	2.743138818022243	-0.04400056852650765	0.0018587591112183568	0.8213	0.0654313770746199
15	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_010.fits	0	0.1	1	1	0	0	0.49237191328756114	-1.6680156709579026	2.6703724117821928	-0.04068949927203431	-0.005196135727449397	0.7397	0.0636734461796522
16	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.5017722230900885	-1.6081693885096546	2.6536580850520086	-0.04020267492703588	0.006526217750627882	0.7414	0.10219772721606689
17	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_050.fits	0	0.49	1	1	0	0	0.45931863481335133	-1.7826104953818693	2.735261857076648	-0.002739449027397737	0.005502334504480635	0.8143	0.08473448528072422
18	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.5073636955236954	-1.9427408318272583	3.0455395986063136	-0.020208171112580043	0.01195934075495402	1.6285	0.13071888973511506
19	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.47260807639768504	-1.7424165319766542	2.7806489946596855	-0.0334597775867864	-0.001820235388727653	0.8645	0.06289261698484626
20	isolated_galaxies/m1_fg0.3/rot_45/broadband_010.fits	0	0.1	1	1	0	0	0.4941061412089832	-1.6858285704917941	2.709690779945735	-0.004635849858742045	0.004722027192411341	0.8	0.07936377409876479
21	isolated_galaxies/m1_fg0.3/rot_45/broadband_020.fits	0	0.2	1	1	0	0	0.4642943523010889	-1.7001432092426543	2.6597493555247476	-0.005371206190344966	0.0071091349803167544	0.7893	0.05298753359932683
22	isolated_galaxies/m1_fg0.3/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.4854878492263246	-1.7527572716278896	2.746582563099125	-0.0007982776331369844	0.008654129427444054	0.8075	0.06469346213238288
23	isolated_galaxies/m1_fg0.3/rot_45/broadband_040.fits	0	0.39	1	1	0	0	0.48013553834549483	-1.6809363466734881	2.6237551575847142	-0.012603845980050763	0.005969337932989564	0.7939	0.08079913319026906
24	isolated_galaxies/m1_fg0.3/rot_45/broadband_050.fits	0	0.49	1	1	0	0	0.4575007761372924	-1.6727831744746335	2.7373283574741114	0.01468224150151863	0.009459121464128575	0.8197	0.06764095301175298
25	isolated_galaxies/m1_fg0.3/rot_45/broadband_060.fits	0	0.59	1	1	0	0	0.4976683529671834	-1.7272890273773598	2.706927422364616	0.03722954516757926	0.011898982860548862	0.8539	0.07010884922718878
26	isolated_galaxies/m1_fg0.3/rot_45/broadband_100.fits	0	0.98	1	1	0	0	0.5073151004212574	-1.7254765686723585	2.7225634620548735	0.0614713970253374	0.016613120270485615	0.8541	0.07776943035966619
27	isolated_galaxies/m1_fg0.3/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.5028941569819473	-1.7611979985780237	2.880045573023438	0.0670706000040839	0.01946927944178525	1.1685	0.06223728059015765
28	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.4953668698290949	-1.7101157323345768	2.71100977048208	-0.034830097059290265	-0.0009639347772683513	0.8087	0.05762540736528341
29	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_010.fits	0	0.1	2	1	0	0	0.48928944282651127	-1.675219377204393	2.66348486273698	-0.04978169183853424	0.0022890767671994755	0.7444	0.08712622958498627
30	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.5073953708832988	-1.7642780231841464	2.713483859298384	-0.009937987533539794	0.010783283540151435	0.7806	0.0978099326609635
31	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_050.fits	0	0.49	2	1	0	0	0.462518938379478	-1.6609981085014163	2.6943425418691196	-0.021381490603371547	0.006490534660482836	0.8183	0.08510014742482729
32	isolated_galaxies/m0.5_fg0.3/rot_45/broadband_200.fits	0	1.96	2	1	0	0	0.4944349506400026	-2.033843420234762	3.0819254512863288	-0.005648909604682193	0.015047298643477211	1.7402	0.07054868814219127
33	isolated_galaxies/m1_fg0.3/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.48558955564888107	-1.7231718470062507	2.7756757281628586	-0.03590962161847049	-0.002175977393103981	0.8652	0.04575346218903868
34	isolated_galaxies/m1_fg0.3/rot_45/broadband_010.fits	0	0.1	2	1	0	0	0.49851232381864624	-1.7040326701639124	2.723385730659365	-0.029393968783993255	0.005481409429085418	0.7989	0.052278625431253015
35	isolated_galaxies/m1_fg0.3/rot_45/broadband_020.fits	0	0.2	2	1	0	0	0.4637161724759118	-1.674344154872756	2.6690705367341305	-0.004303223310984056	0.010578808859576573	0.784	0.07151885732168185
36	isolated_galaxies/m1_fg0.3/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.4920133123350908	-1.7040026802240806	2.727681926768406	-0.015864848805077266	0.005808237027308806	0.8068	0.09504814058364401
37	isolated_galaxies/m1_fg0.3/rot_45/broadband_040.fits	0	0.39	2	1	0	0	0.4901146702817497	-1.7194472849890148	2.708468291051418	-0.010974315080506244	0.005535428900013879	0.7913	0.08305153833302696
