Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	0	1	0	0	0.5197757547477057	-1.8961177089516763	2.964974106114433	-0.032047780061847095	-0.002125702024019763	1.3445	0.07177371647680282
1	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	0	1	0	0	0.5142474512152091	-1.8470240376740141	2.8889762425987344	0.015176079937220763	0.005720262678188343	1.2437	0.1162642763911807
2	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	0	1	0	0	0.5186930012624414	-1.8698289664764278	2.8590607839921334	0.0007280257846038318	0.004078256427513524	1.2284	0.07264189404959097
3	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	0	1	0	0	0.4844588492548574	-1.821560234210352	2.8334822795830523	0.032319332348659385	0.010119079141419594	1.2115	0.0967829040969324
4	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	0	1	0	0	0.49440389196910706	-1.7975589043089868	2.7767159875574303	0.014458771713543315	0.005749216446847104	1.1272	0.11654357707078429
5	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	0	1	0	0	0.4777623480642041	-1.8043847100865154	2.784024330159094	-0.007526122994167934	0.0061671602837135315	1.1281	0.09161604652518932
6	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	0	1	0	0	0.4984429473197422	-1.8191982123678243	2.7996856751954793	0.0023602025340521597	0.007998375237205898	1.1364	0.13298635262871486
7	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	0	1	0	0	0.5000410910865246	-1.8449133340409338	2.792841231723053	-0.023247589676945873	-0.00041570151466000383	1.1727	0.13024690676727382
8	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	0	1	0	0	0.4883111119472229	-1.8255291607121844	2.7893904227215915	-0.04431342868599632	-0.0001454325270243996	1.1452	0.0921019410988658
9	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	1	1	0	0	0.49397854212718256	-1.8202374201033278	2.937602520124649	-0.015446499366832431	0.0050968231507057685	1.1715	0.0743545529486133
10	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	1	1	0	0	0.5138661170213813	-1.796218628374276	2.8515172090297547	0.006305331780991029	0.005014309329129736	1.0822	0.053980538583679245
11	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	1	1	0	0	0.5128469858924907	-1.8287110278859555	2.866482572603666	-0.007205601011335543	-0.0017893079811109054	1.0876	0.0645476540359068
12	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	1	1	0	0	0.5204282378419761	-1.7897377150902631	2.8677048593135144	0.009557756274637738	0.0034154716743562395	1.0652	0.08180858159411498
13	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	1	1	0	0	0.4815053118048501	-1.7521225801503695	2.766566984995873	0.023885356627463147	0.01282533252340366	1.0151	0.14646134574691996
14	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	1	1	0	0	0.5155979182362903	-1.8076642835814811	2.814729160825533	0.014547581582678479	0.003388498995525658	1.0292	0.07029168504382412
15	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_150.fits	0	1.47	1	1	0	0	0.4987834689288341	-1.8070229009371588	2.814494281064714	-0.006349336783825361	0.007252296011654173	1.0187	0.07421456655113128
16	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_180.fits	0	1.76	1	1	0	0	0.49336878208721924	-1.8350833132499962	2.8397182334468543	-0.018798886804276497	-0.00017458510403734254	1.0594	0.0570814714650331
17	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_200.fits	0	1.96	1	1	0	0	0.49200625232355943	-1.793367095121821	2.8082867232119115	-0.019342608726063165	0.00030592930027423736	1.032	0.10305405395269325
18	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_005.fits	0	0.05	2	1	0	0	0.504786465103416	-1.8528569841005376	2.9280269792687434	-0.01599862786387062	0.007772640860766805	1.1925	0.0607798570717166
19	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_030.fits	0	0.29	2	1	0	0	0.515489779134551	-1.8350851878024277	2.873481026531846	-0.02752911227869557	-0.0014706035317155232	1.063	0.07119446471760504
20	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_060.fits	0	0.59	2	1	0	0	0.5205762115230192	-1.8109942944005692	2.835912788478823	-0.004332563711132357	0.0016173516073590792	1.0539	0.06256589586685311
21	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_090.fits	0	0.88	2	1	0	0	0.5177412444839724	-1.8494657966145873	2.8306191551994346	0.005271327525842333	0.0024017344870882334	1.0718	0.10294808613995642
22	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_100.fits	0	0.98	2	1	0	0	0.474075495297751	-1.8045346506733762	2.8194503137050164	-0.013114279772729442	0.004213326919973959	1.0301	0.07949228370103115
23	isolated_galaxies/m1_fg0.3_BT0.2/rot_45/broadband_120.fits	0	1.17	2	1	0	0	0.5087442072856978	-1.7858312979555953	2.834980368841168	0.0029815637349180093	0.00809479332345787	1.0324	0.07253878124698261
