Counter	Image	class label	Myr	Viewpoint	# Bulges	Sep	Flux Ratio	Gini	M20	C	A	S	Sersic n	A_s
0	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_005.fits	1	0.05	0	1	0	0	0.5269305123232655	-1.9147754602325757	3.0109704657679233	-0.05272927619230342	-0.025385735265382115	1.4843	0.09885685850369706
1	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_060.fits	1	0.59	0	1	0	0	0.5678093222473974	-1.7625613949471248	3.0532339914000888	0.11231468595050564	0.06828450060687896	0.9366	0.35305386052732457
2	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_090.fits	1	0.88	0	1	0	0	0.50352968547718	-1.9238698825967695	2.9943291170546376	-0.0025848054667817234	0.0323103643013989	1.4679	0.17761988714371585
3	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_120.fits	1	1.17	0	1	0	0	0.5394587995166638	-1.9414145848857203	3.078090192050494	0.09276600300156705	0.009628592146457926	1.5555	0.2612649289557598
4	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_150.fits	1	1.47	0	1	0	0	0.5242228628640923	-1.9382307396674932	3.0179166303534153	0.02464094504650193	0.005041584208745184	1.5501	0.12422733796077318
5	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_180.fits	1	1.76	0	1	0	0	0.5144862146801317	-1.9491737484801872	3.101190963849547	-0.02835668437557446	-0.002693751484355972	1.6209	0.13358473043879454
6	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_210.fits	1	2.05	0	1	0	0	0.5350281272933527	-1.9674826246447226	3.118527909864823	-0.022138508382568138	0.005236462751272898	1.6881	0.17243493579336833
7	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_240.fits	1	2.35	0	1	0	0	0.48776487022793297	-1.963687959922918	3.0633218978981573	-0.018067246315671106	-0.003433167742869556	1.7488	0.1197094132475701
8	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_270.fits	1	2.64	0	2	3.380154337781379	2.2311049512962087	0.5201674716774436	-1.4953565348364086	2.7813234449777897	0.43712311847049895	0.01276620519822543	1.5791	0.5016591778511122
9	q0.2_fg0.3_BT0.2_allrx10_sunruns/hires_kin_early_cen1/broadband_300.fits	1	2.93	0	1	0	0	0.5897988932775584	-1.9899371242877144	3.3297745585674834	0.079090945494712	0.00406584169750524	1.7993	0.36362623281668377
